_num,_widgetName,_source,_resultNumber,_pageUrl,movietitle,year,people,image,description
153,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,53,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Mac and Me,1988,Director: Stewart Raffill; Stars: Christine Ebersole Jonathan Ward Tina Caspary Lauren Stanley,<img height="209" width="140" alt="Image of Mac and Me" title="Image of Mac and Me" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjE0NDA2NDg1M15BMl5BanBnXkFtZTcwMzgzNzA2NA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Mac and Me" title="Image of Mac and Me" src="http://ia.media-imdb.com/images/M/MV5BMjE0NDA2NDg1M15BMl5BanBnXkFtZTcwMzgzNzA2NA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,A Mysterious Alien Creature (MAC ?) trying to escape from NASA is befriended by a young boy in a wheel chair. (95 mins.)
154,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,54,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,My Stepmother Is an Alien,1988,Director: Richard Benjamin; Stars: Dan Aykroyd Kim Basinger Jon Lovitz Alyson Hannigan,<img height="209" width="140" alt="Image of My Stepmother Is an Alien" title="Image of My Stepmother Is an Alien" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTM5OTI0MzM5Nl5BMl5BanBnXkFtZTcwOTcwMjcyMQ@@._V1._SY209_CR40140209_.jpg" />; <img height="209" width="140" alt="Image of My Stepmother Is an Alien" title="Image of My Stepmother Is an Alien" src="http://ia.media-imdb.com/images/M/MV5BMTM5OTI0MzM5Nl5BMl5BanBnXkFtZTcwOTcwMjcyMQ@@._V1._SY209_CR40140209_.jpg" class="zero-z-index" />,An alien is sent on a secret mission to Earth where she appears as a gorgeous attractive and single lady... (105 mins.)
155,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,55,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Leviathan,1989,Director: George P. Cosmatos; Stars: Peter Weller Richard Crenna Amanda Pays Daniel Stern,<img height="209" width="140" alt="Image of Leviathan" title="Image of Leviathan" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjAyNzMwMTI1Nl5BMl5BanBnXkFtZTcwNTkzNzA2NA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Leviathan" title="Image of Leviathan" src="http://ia.media-imdb.com/images/M/MV5BMjAyNzMwMTI1Nl5BMl5BanBnXkFtZTcwNTkzNzA2NA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,Underwater deep-sea miners encounter a Soviet wreck and bring back a dangerous cargo to their base on the ocean floor with horrifying results... (98 mins.)
156,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,56,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,RoboCop 2,1990,Director: Irvin Kershner; Stars: Peter Weller Belinda Bauer John Glover Mario Machado,<img height="209" width="140" alt="Image of RoboCop 2" title="Image of RoboCop 2" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjI3OTEyOTAxMl5BMl5BanBnXkFtZTcwMTA0NzE1NA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of RoboCop 2" title="Image of RoboCop 2" src="http://ia.media-imdb.com/images/M/MV5BMjI3OTEyOTAxMl5BMl5BanBnXkFtZTcwMTA0NzE1NA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,A corrupt businesswoman seeks to disable Robocop in favor of her own model of cyborg. (117 mins.)
157,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,57,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Bill & Ted's Bogus Journey,1991,Director: Pete Hewitt; Stars: Keanu Reeves Alex Winter William Sadler Joss Ackland,<img height="209" width="140" alt="Image of Bill &amp; Ted's Bogus Journey" title="Image of Bill &amp; Ted's Bogus Journey" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjAwNjQyODA2Ml5BMl5BanBnXkFtZTcwNDM4MzcyNA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Bill &amp; Ted's Bogus Journey" title="Image of Bill &amp; Ted's Bogus Journey" src="http://ia.media-imdb.com/images/M/MV5BMjAwNjQyODA2Ml5BMl5BanBnXkFtZTcwNDM4MzcyNA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals. (93 mins.)
158,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,58,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Suburban Commando,1991,Director: Burt Kennedy; Stars: Hulk Hogan Christopher Lloyd Shelley Duvall Larry Miller,<img height="209" width="140" alt="Image of Suburban Commando" title="Image of Suburban Commando" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjAxNTQ1OTA1OV5BMl5BanBnXkFtZTcwMTg3MTYyMQ@@._V1._SY209_CR10140209_.jpg" />; <img height="209" width="140" alt="Image of Suburban Commando" title="Image of Suburban Commando" src="http://ia.media-imdb.com/images/M/MV5BMjAxNTQ1OTA1OV5BMl5BanBnXkFtZTcwMTg3MTYyMQ@@._V1._SY209_CR10140209_.jpg" class="zero-z-index" />,Shep Ramsey is an interstellar hero righting wrongs etc. His ship is damaged after a fight with an... (90 mins.)
159,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,59,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Forever Young,1992,Director: Steve Miner; Stars: Mel Gibson Jamie Lee Curtis Elijah Wood Isabel Glasser,<img height="209" width="140" alt="Image of Forever Young" title="Image of Forever Young" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTI5MDk2MTIxNF5BMl5BanBnXkFtZTcwMjMwODAwMQ@@._V1._SY209_CR80140209_.jpg" />; <img height="209" width="140" alt="Image of Forever Young" title="Image of Forever Young" src="http://ia.media-imdb.com/images/M/MV5BMTI5MDk2MTIxNF5BMl5BanBnXkFtZTcwMjMwODAwMQ@@._V1._SY209_CR80140209_.jpg" class="zero-z-index" />,A 1939 test pilot asks his best friend to use him as a guinea pig for a cryogenics experiment. Daniel... (102 mins.)
160,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,60,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Freejack,1992,Director: Geoff Murphy; Stars: Emilio Estevez Mick Jagger Rene Russo Anthony Hopkins,<img height="209" width="140" alt="Image of Freejack" title="Image of Freejack" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTM1NjUxOTg5OF5BMl5BanBnXkFtZTcwNjMxNTIyMQ@@._V1._SY209_CR70140209_.jpg" />; <img height="209" width="140" alt="Image of Freejack" title="Image of Freejack" src="http://ia.media-imdb.com/images/M/MV5BMTM1NjUxOTg5OF5BMl5BanBnXkFtZTcwNjMxNTIyMQ@@._V1._SY209_CR70140209_.jpg" class="zero-z-index" />,Bounty hunters from the future transport a doomed race-car driver to 2009 New York where his mind will be replaced with that of a dead billionaire. (110 mins.)
161,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,61,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Honey I Blew Up the Kid,1992,Director: Randal Kleiser; Stars: Rick Moranis Marcia Strassman Robert Oliveri Daniel Shalikar,<img height="209" width="140" alt="Image of Honey I Blew Up the Kid" title="Image of Honey I Blew Up the Kid" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTIyNTQ0NDc4NF5BMl5BanBnXkFtZTcwMTcxNTcyMQ@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Honey I Blew Up the Kid" title="Image of Honey I Blew Up the Kid" src="http://ia.media-imdb.com/images/M/MV5BMTIyNTQ0NDc4NF5BMl5BanBnXkFtZTcwMTcxNTcyMQ@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,The Szalinski family is back this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall. (89 mins.)
162,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,62,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Split Second,1992,Director: Tony Maylam; Stars: Rutger Hauer Kim Cattrall Alastair Duncan Michael J. Pollard,<img height="209" width="140" alt="Image of Split Second" title="Image of Split Second" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTMyNjYxNjkxNV5BMl5BanBnXkFtZTYwNDQ5NTA5._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Split Second" title="Image of Split Second" src="http://ia.media-imdb.com/images/M/MV5BMTMyNjYxNjkxNV5BMl5BanBnXkFtZTYwNDQ5NTA5._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,In a futuristic London the rising sea levels mean that large areas are under feet of water. Hauer plays... (90 mins.)
163,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,63,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Batman: Mask of the Phantasm,1993,Director: Eric Radomski Bruce W. Timm; Stars: Kevin Conroy Dana Delany Hart Bochner Stacy Keach,<img height="209" width="140" alt="Image of Batman: Mask of the Phantasm" title="Image of Batman: Mask of the Phantasm" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTMzODU0NTYxN15BMl5BanBnXkFtZTcwNDUxNzUyMQ@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Batman: Mask of the Phantasm" title="Image of Batman: Mask of the Phantasm" src="http://ia.media-imdb.com/images/M/MV5BMTMzODU0NTYxN15BMl5BanBnXkFtZTcwNDUxNzUyMQ@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin. (76 mins.)
164,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,64,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,RoboCop 3,1993,Director: Fred Dekker; Stars: Nancy Allen Robert John Burke Mario Machado Remy Ryan,<img height="209" width="140" alt="Image of RoboCop 3" title="Image of RoboCop 3" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTk4NTU5ODYyNl5BMl5BanBnXkFtZTcwMjkzODM1NA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of RoboCop 3" title="Image of RoboCop 3" src="http://ia.media-imdb.com/images/M/MV5BMTk4NTU5ODYyNl5BMl5BanBnXkFtZTcwMjkzODM1NA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on "their" land. (104 mins.)
165,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,65,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Teenage Mutant Ninja Turtles III,1993,Director: Stuart Gillard; Stars: Elias Koteas Paige Turco Stuart Wilson Sab Shimono,<img height="209" width="140" alt="Image of Teenage Mutant Ninja Turtles III" title="Image of Teenage Mutant Ninja Turtles III" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTA0NjU1OTE4MTJeQTJeQWpwZ15BbWU3MDc1OTEzMjE@._V1._SY209_CR10140209_.jpg" />; <img height="209" width="140" alt="Image of Teenage Mutant Ninja Turtles III" title="Image of Teenage Mutant Ninja Turtles III" src="http://ia.media-imdb.com/images/M/MV5BMTA0NjU1OTE4MTJeQTJeQWpwZ15BbWU3MDc1OTEzMjE@._V1._SY209_CR10140209_.jpg" class="zero-z-index" />,The turtles find themselves transported back in time to ancient Japan. (96 mins.)
166,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,66,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Frankenstein,1994,Director: Kenneth Branagh; Stars: Robert De Niro Kenneth Branagh Helena Bonham Carter Tom Hulce,<img height="209" width="140" alt="Image of Frankenstein" title="Image of Frankenstein" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTc1MzQ5NTA3MV5BMl5BanBnXkFtZTcwMDUzNDIyMQ@@._V1._SY209_CR30140209_.jpg" />; <img height="209" width="140" alt="Image of Frankenstein" title="Image of Frankenstein" src="http://ia.media-imdb.com/images/M/MV5BMTc1MzQ5NTA3MV5BMl5BanBnXkFtZTcwMDUzNDIyMQ@@._V1._SY209_CR30140209_.jpg" class="zero-z-index" />,When Victor Frankenstein rejects the artificial man he just created the monster escapes and later swears revenge. (123 mins.)
167,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,67,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,No Escape,1994,Director: Martin Campbell; Stars: Ray Liotta Lance Henriksen Stuart Wilson Kevin Dillon,<img height="209" width="140" alt="Image of No Escape" title="Image of No Escape" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BNzQ3ODA1ODc4N15BMl5BanBnXkFtZTgwMDI4MzgxMTE@._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of No Escape" title="Image of No Escape" src="http://ia.media-imdb.com/images/M/MV5BNzQ3ODA1ODc4N15BMl5BanBnXkFtZTgwMDI4MzgxMTE@._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,A soldier convicted for murdering his commanding officer is dumped and left to die on a prison island inhabited by two camps of convicts. (118 mins.)
168,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,68,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Street Fighter,1994,Director: Steven E. de Souza; Stars: Jean-Claude Van Damme Raul Julia Ming-Na Wen Damian Chapa,<img height="209" width="140" alt="Image of Street Fighter" title="Image of Street Fighter" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjE2ODY0NDMyOV5BMl5BanBnXkFtZTcwNDQ4NDAzMQ@@._V1._SY209_CR20140209_.jpg" />; <img height="209" width="140" alt="Image of Street Fighter" title="Image of Street Fighter" src="http://ia.media-imdb.com/images/M/MV5BMjE2ODY0NDMyOV5BMl5BanBnXkFtZTcwNDQ4NDAzMQ@@._V1._SY209_CR20140209_.jpg" class="zero-z-index" />,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts. (102 mins.)
169,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,69,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Congo,1995,Director: Frank Marshall; Stars: Laura Linney Tim Curry Dylan Walsh Ernie Hudson,<img height="209" width="140" alt="Image of Congo" title="Image of Congo" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BNjI3MTE5NTMzOF5BMl5BanBnXkFtZTcwMzkyOTAyMQ@@._V1._SY209_CR40140209_.jpg" />; <img height="209" width="140" alt="Image of Congo" title="Image of Congo" src="http://ia.media-imdb.com/images/M/MV5BNjI3MTE5NTMzOF5BMl5BanBnXkFtZTcwMzkyOTAyMQ@@._V1._SY209_CR40140209_.jpg" class="zero-z-index" />,When an expedition to the African Congo ends in disaster a new team is assembled to find out what went wrong. (109 mins.)
170,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,70,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Mighty Morphin Power Rangers: The Movie,1995,Director: Bryan Spicer; Stars: Karan Ashley Johnny Yong Bosch Steve Cardenas Jason David Frank,<img height="209" width="140" alt="Image of Mighty Morphin Power Rangers: The Movie" title="Image of Mighty Morphin Power Rangers: The Movie" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjAyOTQyNzA5NV5BMl5BanBnXkFtZTcwMzM2MjkyMQ@@._V1._SY209_CR30140209_.jpg" />; <img height="209" width="140" alt="Image of Mighty Morphin Power Rangers: The Movie" title="Image of Mighty Morphin Power Rangers: The Movie" src="http://ia.media-imdb.com/images/M/MV5BMjAyOTQyNzA5NV5BMl5BanBnXkFtZTcwMzM2MjkyMQ@@._V1._SY209_CR30140209_.jpg" class="zero-z-index" />,A giant egg is unearthed at a construction site and soon opened releasing the terrible Ivan Ooze who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost the Rangers head to a distant planet to find the mystic warrior Dulcea. (95 mins.)
171,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,71,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Powder,1995,Director: Victor Salva; Stars: Mary Steenburgen Sean Patrick Flanery Lance Henriksen Jeff Goldblum,<img height="209" width="140" alt="Image of Powder" title="Image of Powder" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTM2NDczNjYwMV5BMl5BanBnXkFtZTYwNTI3Mjc4._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Powder" title="Image of Powder" src="http://ia.media-imdb.com/images/M/MV5BMTM2NDczNjYwMV5BMl5BanBnXkFtZTYwNTI3Mjc4._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,A young bald albino boy with unique powers shakes up the rural community he lives in. (111 mins.)
172,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,72,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Species,1995,Director: Roger Donaldson; Stars: Natasha Henstridge Michael Madsen Ben Kingsley Alfred Molina,<img height="209" width="140" alt="Image of Species" title="Image of Species" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjMyNTE0ODUzOF5BMl5BanBnXkFtZTcwNjY5NTk1NA@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Species" title="Image of Species" src="http://ia.media-imdb.com/images/M/MV5BMjMyNTE0ODUzOF5BMl5BanBnXkFtZTcwNjY5NTk1NA@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,A message from outer space contains instructions on how to modify human DNA. (108 mins.)
173,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,73,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Strange Days,1995,Director: Kathryn Bigelow; Stars: Ralph Fiennes Angela Bassett Juliette Lewis Tom Sizemore,<img height="209" width="140" alt="Image of Strange Days" title="Image of Strange Days" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTQxMzk0NTQ4Ml5BMl5BanBnXkFtZTgwNjY0MDQ1MDE@._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Strange Days" title="Image of Strange Days" src="http://ia.media-imdb.com/images/M/MV5BMTQxMzk0NTQ4Ml5BMl5BanBnXkFtZTgwNjY0MDQ1MDE@._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,A former cop turned street-hustler accidentally uncovers a police conspiracy in 1999 Los Angeles. (145 mins.)
174,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,74,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Chain Reaction,1996,Director: Andrew Davis; Stars: Keanu Reeves Morgan Freeman Rachel Weisz Fred Ward,<img height="209" width="140" alt="Image of Chain Reaction" title="Image of Chain Reaction" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTU5NTQ2NTUzOF5BMl5BanBnXkFtZTcwMDg1OTgxMQ@@._V1._SY209_CR20140209_.jpg" />; <img height="209" width="140" alt="Image of Chain Reaction" title="Image of Chain Reaction" src="http://ia.media-imdb.com/images/M/MV5BMTU5NTQ2NTUzOF5BMl5BanBnXkFtZTcwMDg1OTgxMQ@@._V1._SY209_CR20140209_.jpg" class="zero-z-index" />,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason. (107 mins.)
175,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,75,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Eraser,1996,Director: Charles Russell; Stars: Arnold Schwarzenegger Vanessa Williams James Caan James Coburn,<img height="209" width="140" alt="Image of Eraser" title="Image of Eraser" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BODkyOTE2MjY5OF5BMl5BanBnXkFtZTcwNzI1NjUxMQ@@._V1._SY209_CR70140209_.jpg" />; <img height="209" width="140" alt="Image of Eraser" title="Image of Eraser" src="http://ia.media-imdb.com/images/M/MV5BODkyOTE2MjY5OF5BMl5BanBnXkFtZTcwNzI1NjUxMQ@@._V1._SY209_CR70140209_.jpg" class="zero-z-index" />,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons. (115 mins.)
176,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,76,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,The Island of Dr. Moreau,1996,Director: John Frankenheimer; Stars: David Thewlis Marlon Brando Val Kilmer Fairuza Balk,<img height="209" width="140" alt="Image of The Island of Dr. Moreau" title="Image of The Island of Dr. Moreau" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTIyMDI3NTI1OV5BMl5BanBnXkFtZTcwMDM2MjAyMQ@@._V1._SX140_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of The Island of Dr. Moreau" title="Image of The Island of Dr. Moreau" src="http://ia.media-imdb.com/images/M/MV5BMTIyMDI3NTI1OV5BMl5BanBnXkFtZTcwMDM2MjAyMQ@@._V1._SX140_CR00140209_.jpg" class="zero-z-index" />,After being rescued and brought to an island a man discovers that it's inhabitants are experimental animals being turned into strange looking humans all of it the work of a visionary doctor. (96 mins.)
177,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,77,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Multiplicity,1996,Director: Harold Ramis; Stars: Michael Keaton Andie MacDowell Zack Duhame Katie Schlossberg,<img height="209" width="140" alt="Image of Multiplicity" title="Image of Multiplicity" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMTQ4MzcyODU1MF5BMl5BanBnXkFtZTcwNDY5MDEzMQ@@._V1._SY209_CR30140209_.jpg" />; <img height="209" width="140" alt="Image of Multiplicity" title="Image of Multiplicity" src="http://ia.media-imdb.com/images/M/MV5BMTQ4MzcyODU1MF5BMl5BanBnXkFtZTcwNDY5MDEzMQ@@._V1._SY209_CR30140209_.jpg" class="zero-z-index" />,A man who never has enough time for the things he wants to do is offered the opportunity to have himself duplicated. (117 mins.)
178,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,78,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,The Nutty Professor,1996,Director: Tom Shadyac; Stars: Eddie Murphy Jada Pinkett Smith James Coburn Larry Miller,<img height="209" width="140" alt="Image of The Nutty Professor" title="Image of The Nutty Professor" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjA3ODA2MjU4OV5BMl5BanBnXkFtZTcwNzIwMzUxMQ@@._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of The Nutty Professor" title="Image of The Nutty Professor" src="http://ia.media-imdb.com/images/M/MV5BMjA3ODA2MjU4OV5BMl5BanBnXkFtZTcwNzIwMzUxMQ@@._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,Grossly overweight Prof. Sherman Klump desperate to lose weight takes a special chemical that turns him into the slim but obnoxious Buddy Love. (95 mins.)
179,IMDB_List_IconViewExtractor,IMDB_List_IconViewExtractor,79,http://www.imdb.com/list/ls051626175/?start=101&view=detail&sort=listorian:asc,Phenomenon,1996,Director: Jon Turteltaub; Stars: John Travolta Kyra Sedgwick Forest Whitaker Robert Duvall,<img height="209" width="140" alt="Image of Phenomenon" title="Image of Phenomenon" src="http://i.media-imdb.com/images/SFaa265aa19162c9e4f3781fbae59f856d/nopicture/medium/film.png" class="loadlate hidden zero-z-index" loadlate="http://ia.media-imdb.com/images/M/MV5BMjAwMDA2NzEyMl5BMl5BanBnXkFtZTgwNTA2MjgxMTE@._V1._SY209_CR00140209_.jpg" />; <img height="209" width="140" alt="Image of Phenomenon" title="Image of Phenomenon" src="http://ia.media-imdb.com/images/M/MV5BMjAwMDA2NzEyMl5BMl5BanBnXkFtZTgwNTA2MjgxMTE@._V1._SY209_CR00140209_.jpg" class="zero-z-index" />,An ordinary man sees a bright light descend from the sky and discovers he now has super-intelligence and telekinesis. (123 mins.)
